Herb name in Pinyin,Herb Property,Herb Meridian Tropism,Herb Flavor
NIU BANG ZI,Cold,"Lung meridian,Stomach meridian","Bitter,Pungent"
NIU XI,Even,"Liver meridian,Kidney meridian","Sweet,Bitter,Sour"
NV ZHEN ZI,Cool,"Liver meridian,Kidney meridian","Sweet,Bitter"
OU JIE,Even,"Lung meridian,Liver meridian,Stomach meridian","Sweet,Astringent"
PANG DA HAI,Cold,"Large intestine meridian,Lung meridian",Sweet
PEI LAN,Even,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
PI PA YE,Mildly cold,"Lung meridian,Stomach meridian",Bitter
PIAN TOU QI,Cold,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Mildly sweet"
PING BEI MU,Mildly cold,"Lung meridian,Heart meridian","Sweet,Bitter"
PU GONG YING,Cold,"Liver meridian,Stomach meridian","Sweet,Bitter"
PU HUANG,Even,"Liver meridian,Pericardium meridianOthers meridian",Sweet
QIAN JIN ZI,Warm,"Large intestine meridian,Liver meridian,Kidney meridian",Pungent
QIAN LI GUANG,Cold,"Lung meridian,Liver meridian",Bitter
QIAN NIU ZI,Cold,"Large intestine meridian,Lung meridian,Kidney meridian",Bitter
QIAN HU,Mildly cold,Lung meridian,"Bitter,Pungent"
QIAN SHI,Even,"Spleen meridian,Kidney meridian","Sweet,Astringent"
QIAN CAO,Cold,Liver meridian,Bitter
QIANG HUO,Warm,"Bladder meridian,Kidney meridian","Bitter,Pungent"
QIN JIAO,Even,"Gallbladder meridian,Liver meridian,Stomach meridian","Bitter,Pungent"
QING FENG TENG,Even,"Liver meridian,Spleen meridian","Bitter,Pungent"
QING GUO,Even,"Lung meridian,Stomach meridian","Sweet,Sour"
QING HAO,Cold,"Gallbladder meridian,Liver meridian","Bitter,Pungent"
QING PI,Warm,"Liver meridian, Gallbladder meridian, Stomach meridian","Bitter,Pungent"
QING XIANG ZI,Mildly cold,Liver meridian,Bitter
QING YE DAN,Cold,"Bladder meridian,Gallbladder meridian,Liver meridian","Sweet,Bitter"
QUAN SHEN,Mildly cold,"Large intestine meridian,Lung meridian,Liver meridian","Bitter,Astringent"
REN SHEN,Mildly warm,"Lung meridian,Spleen meridian,Kidney meridian,Heart meridian","Sweet,Mildly bitter"
REN SHEN YE,Cold,"Lung meridian,Stomach meridian","Sweet,Bitter"
REN DONG TENG,Cold,"Lung meridian,Stomach meridian",Sweet
ROU CONG RONG,Warm,"Large intestine meridian,Kidney meridian","Sweet,Salty"
ROU DOU KOU,Warm,"Large intestine meridian,Spleen meridian,Stomach meridian",Pungent
ROU GUI,Great hot,"Liver meridian,Spleen meridian,Kidney meridian,Heart meridian","Sweet,Pungent"
RU XIANG,Warm,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
SAN BAI CAO,Cold,"Bladder meridian,Lung meridian","Sweet,Pungent"
