Unnamed_0,molecular_weight, alogp, logd, molecular_solubility, molecular_volume, molecular_surface_area, molecular_polar_surface_area, num_rotatable_bonds, num_h_acceptors, num_h_donors, adm_absorption_level, adm_bbb_level, adm_bbb, adm_solubility, adm_solubility_level, adm_hepatotoxicity, adm_hepatotoxicity_probability, adm_cyp2d6, adm_cyp2d6_probability, adm_ppb_level, druglikeness_weight,isGreatCold,isCold,isMildlyCold,isCool,isEven,isWarm,isMildlyWarm,isHot,isGreatHot,isLiverMeridian,isSpleenMeridian,isKidneyMeridian,isHeartMeridian,isLargeIntestineMeridian,isStomachMeridian,isLungMeridian,isGallbladderMeridian,isTripleBurnerMeridian,isBladderMeridian,isOthersMeridian,isSmallIntestineMeridian,isPericardiumMeridian,isBitter,isPungent,isSweet,isAstringent,isMildlyBitter,isSalty,isMildlySweet,isSour
720,294.38594,3.531,2.129,-3.947,212.31,306.61,74.59,4.0,4.0,2.0,0.0,2.0,-0.269,-3.906,3.0,0.0,0.344,0.0,0.306,0.0,0.778,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
721,435.87011834980785,2.5445801757276225,2.2085090734121526,-4.391245469522241,299.81810955518944,425.875881383855,116.32103926414058,5.758374519494783,7.264140582097749,3.5113948380010984,1.2118131868131867,2.763324175824176,0.0034031952342269208,-4.344912774725275,2.4388736263736264,0.5671703296703297,0.5452217032967033,0.1375,0.30468269230769235,0.8976648351648352,0.440588550247117,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
722,435.87011834980785,2.5445801757276225,2.2085090734121526,-4.391245469522241,299.81810955518944,425.875881383855,116.32103926414058,5.758374519494783,7.264140582097749,3.5113948380010984,1.2118131868131867,2.763324175824176,0.0034031952342269208,-4.344912774725275,2.4388736263736264,0.5671703296703297,0.5452217032967033,0.1375,0.30468269230769235,0.8976648351648352,0.440588550247117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,435.87011834980785,2.5445801757276225,2.2085090734121526,-4.391245469522241,299.81810955518944,425.875881383855,116.32103926414058,5.758374519494783,7.264140582097749,3.5113948380010984,1.2118131868131867,2.763324175824176,0.0034031952342269208,-4.344912774725275,2.4388736263736264,0.5671703296703297,0.5452217032967033,0.1375,0.30468269230769235,0.8976648351648352,0.440588550247117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,435.87011834980785,2.5445801757276225,2.2085090734121526,-4.391245469522241,299.81810955518944,425.875881383855,116.32103926414058,5.758374519494783,7.264140582097749,3.5113948380010984,1.2118131868131867,2.763324175824176,0.0034031952342269208,-4.344912774725275,2.4388736263736264,0.5671703296703297,0.5452217032967033,0.1375,0.30468269230769235,0.8976648351648352,0.440588550247117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,435.87011834980785,2.5445801757276225,2.2085090734121526,-4.391245469522241,299.81810955518944,425.875881383855,116.32103926414058,5.758374519494783,7.264140582097749,3.5113948380010984,1.2118131868131867,2.763324175824176,0.0034031952342269208,-4.344912774725275,2.4388736263736264,0.5671703296703297,0.5452217032967033,0.1375,0.30468269230769235,0.8976648351648352,0.440588550247117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,129.18018,1.574,1.574,-1.771,81.29,124.85,53.35,1.0,2.0,1.0,0.0,2.0,-0.07200000000000001,-1.742,4.0,1.0,0.509,0.0,0.019,0.0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,295.28788,-0.049,-0.049,-1.5519999999999998,181.78,272.36,115.17,3.0,6.0,5.0,0.0,4.0,0.0034031952342269208,-1.143,4.0,1.0,0.807,0.0,0.435,0.0,0.542,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
728,262.26279,1.876,1.632,-3.353,158.12,227.53,58.2,0.0,3.0,2.0,0.0,3.0,-0.527,-3.639,3.0,1.0,0.98,1.0,0.782,2.0,0.713,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
729,103.11976,-3.076,-3.072,-0.16399999999999998,70.65,121.04,63.31,3.0,3.0,2.0,0.0,3.0,-1.362,0.75,5.0,0.0,0.006,0.0,0.059,0.0,0.398,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
